,Identified_Event_Name,Best_Hit,Original_Source,is_best_hit_unique,Event_ID,Top_10_Wikipedia_Pages
0,Bhola Cyclone (1970),https://en.wikipedia.org/wiki/1970_Bhola_cyclone,https://en.wikipedia.org/wiki/Tropical_cyclone_basins,False,2191,"['https://en.wikipedia.org/wiki/1970_Bhola_cyclone', 'https://en.wikipedia.org/wiki/1839_Coringa_cyclone', 'https://en.wikipedia.org/wiki/Cyclone_Nargis', 'https://en.wikipedia.org/wiki/Tropical_cyclones_by_year', 'https://en.wikipedia.org/wiki/1970_North_Indian_Ocean_cyclone_season', 'https://en.wikipedia.org/wiki/1970s']"
1,Uttarakhand Flood (2021),https://en.wikipedia.org/wiki/2021_Uttarakhand_flood,https://en.wikipedia.org/wiki/2021_Uttarakhand_flood,True,26,"['https://en.wikipedia.org/wiki/2021_Uttarakhand_flood', 'https://en.wikipedia.org/wiki/2013_North_India_floods', 'https://en.wikipedia.org/wiki/Uttarakhand_flood', 'https://en.wikipedia.org/wiki/Joshimath', 'https://en.wikipedia.org/wiki/Floods_in_India', 'https://en.wikipedia.org/wiki/Floods_of_2021', 'https://en.wikipedia.org/wiki/Rini,_Uttarakhand', 'https://en.wikipedia.org/wiki/Reni', 'https://en.wikipedia.org/wiki/Nanda_Devi_Glacier']"
2,Hurricane Vince (2005),https://en.wikipedia.org/wiki/Hurricane_Vince,https://en.wikipedia.org/wiki/Tropical_cyclone_basins,True,2191,"['https://en.wikipedia.org/wiki/Hurricane_Vince', 'https://en.wikipedia.org/wiki/Spain_hurricane', 'https://en.wikipedia.org/wiki/2005_Atlantic_hurricane_season', 'https://en.wikipedia.org/wiki/Vince_(disambiguation)', 'https://en.wikipedia.org/wiki/Timeline_of_the_2005_Atlantic_hurricane_season', 'https://en.wikipedia.org/wiki/Hurricane_Ophelia_(2017)', 'https://en.wikipedia.org/wiki/Vince_Wilfork', 'https://en.wikipedia.org/wiki/2005_Azores_subtropical_storm']"
3,Hurricane Dennis (1999),https://en.wikipedia.org/wiki/Hurricane_Dennis_(1999),https://en.wikipedia.org/wiki/Hurricane_Dennis_(1999),True,3826,"['https://en.wikipedia.org/wiki/Hurricane_Dennis_(1999)', 'https://en.wikipedia.org/wiki/Hurricane_Irene_(1999)', 'https://en.wikipedia.org/wiki/1999_Atlantic_hurricane_season', 'https://en.wikipedia.org/wiki/Timeline_of_the_1999_Atlantic_hurricane_season', 'https://en.wikipedia.org/wiki/Hurricane_Floyd', 'https://en.wikipedia.org/wiki/Hurricane_Dennis_(1981)']"
4,Hurricane Debra (1959),https://en.wikipedia.org/wiki/Hurricane_Debra_(1959),https://en.wikipedia.org/wiki/Hurricane_Debra_(1959),True,3828,"['https://en.wikipedia.org/wiki/Hurricane_Debra_(1959)', 'https://en.wikipedia.org/wiki/1959_Atlantic_hurricane_season']"
5,Great Flood (1851),https://en.wikipedia.org/wiki/Flood_of_1851,https://en.wikipedia.org/wiki/Flood_of_1851,True,25,"['https://en.wikipedia.org/wiki/Flood_of_1851', 'https://en.wikipedia.org/wiki/Great_Flood_(disambiguation)', 'https://en.wikipedia.org/wiki/1851', 'https://en.wikipedia.org/wiki/Great_Flood_of_1844', 'https://en.wikipedia.org/wiki/Des_Moines_River', 'https://en.wikipedia.org/wiki/Keosauqua,_Iowa', 'https://en.wikipedia.org/wiki/1851_in_the_United_States', 'https://en.wikipedia.org/wiki/Iowa_flood_of_2008']"
6,Hurricane Agnes (1972),https://en.wikipedia.org/wiki/Hurricane_Agnes,https://en.wikipedia.org/wiki/Hurricane_Agnes_tornado_outbreak,True,3825,"['https://en.wikipedia.org/wiki/Hurricane_Agnes', 'https://en.wikipedia.org/wiki/1972_Atlantic_hurricane_season', 'https://en.wikipedia.org/wiki/Hurricane_Helene', 'https://en.wikipedia.org/wiki/Hurricane_Ida', 'https://en.wikipedia.org/wiki/Hurricane_Hermine']"
7,Cyclone Dominic (1982),https://en.wikipedia.org/wiki/1981%E2%80%9382_Australian_region_cyclone_season,https://en.wikipedia.org/wiki/1981%E2%80%9382_Australian_region_cyclone_season,False,2190,"['https://en.wikipedia.org/wiki/1981%E2%80%9382_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/Australian_region_tropical_cyclone']"
8,Cyclone Chris-Damia (1982),https://en.wikipedia.org/wiki/1981%E2%80%9382_South-West_Indian_Ocean_cyclone_season,https://en.wikipedia.org/wiki/1981%E2%80%9382_Australian_region_cyclone_season,False,2190,"['https://en.wikipedia.org/wiki/1981%E2%80%9382_South-West_Indian_Ocean_cyclone_season', 'https://en.wikipedia.org/wiki/1981%E2%80%9382_Australian_region_cyclone_season', 'https://en.wikipedia.org/wiki/Tropical_cyclones_by_year', 'https://en.wikipedia.org/wiki/Australian_region_tropical_cyclone', 'https://en.wikipedia.org/wiki/South-West_Indian_Ocean_tropical_cyclone', 'https://en.wikipedia.org/wiki/Cyclone_Gafilo', 'https://en.wikipedia.org/wiki/Tropical_cyclones_in_the_Mascarene_Islands']"
9,Jamaica Hurricane (1912),https://en.wikipedia.org/wiki/1912_Jamaica_hurricane,https://en.wikipedia.org/wiki/1912_Jamaica_hurricane,True,3827,"['https://en.wikipedia.org/wiki/1912_Jamaica_hurricane', 'https://en.wikipedia.org/wiki/Hurricane_Charlie_(1951)', 'https://en.wikipedia.org/wiki/1912_Atlantic_hurricane_season', 'https://en.wikipedia.org/wiki/1944_Jamaica_hurricane', 'https://en.wikipedia.org/wiki/Jamaica', 'https://en.wikipedia.org/wiki/Atlantic_hurricane_season', 'https://en.wikipedia.org/wiki/1900_Galveston_hurricane', 'https://en.wikipedia.org/wiki/1916_Atlantic_hurricane_season']"
10,Hurricane Gordon (2006),https://en.wikipedia.org/wiki/Hurricane_Gordon_(2006),https://en.wikipedia.org/wiki/Tropical_cyclone_basins,True,2191,"['https://en.wikipedia.org/wiki/Hurricane_Gordon_(2006)', 'https://en.wikipedia.org/wiki/2006_Atlantic_hurricane_season', 'https://en.wikipedia.org/wiki/Hurricane_Gordon', 'https://en.wikipedia.org/wiki/Spain_hurricane', 'https://en.wikipedia.org/wiki/Timeline_of_the_2006_Atlantic_hurricane_season', 'https://en.wikipedia.org/wiki/Hurricane_Katrina']"
