,event_name,source,relevant information about time,relevant information about affected areas,relevant information about number of people affected,relevant information about number of people dead,relevant information about number of people who became homeless or displaced,relevant information about number of people who were injured,relevant information about economic loss,relevant information about building damage
0,Cyclone Monica,https://en.wikipedia.org/wiki/Cyclone_Monica,Cyclone Monica occurred from 16 April 2006 to 28 April 2006.,"Cyclone Monica affected Papua New Guinea, Queensland, and Northern Territory.","Three Torres Strait Islanders were rescued after 22 days drifting at sea in the wake of the cyclone passing through the Torres Strait, north of mainland Queensland.",NULL,NULL,No injuries were reported to have occurred during the storm's existence.,The damage caused by Cyclone Monica was estimated to be $5.1 million (2006 USD).,Officials reported about 15 percent of the structures along the Lockhart River sustained minor damage.
1,Electra Fire (2022),https://en.wikipedia.org/wiki/Electra_Fire_(2022),"The Electra Fire occurred from July 4, 2022 to July 28, 2022.","The Electra Fire affected areas in Amador and Calaveras Counties, California.",Approximately 100 people were evacuated due to the Electra Fire.,There were no confirmed deaths caused by the Electra Fire.,NULL,One firefighter was injured related to the Electra Fire.,NULL,NULL
2,2008 Queensland storms,https://en.wikipedia.org/wiki/2008_Queensland_storms,"The 2008 Queensland storms occurred on 16, 19, and 20 November 2008.","The storms affected South East Queensland, including areas of Brisbane, Ipswich, Toowoomba, Marburg, Paddington, and Blackwater.","About 230,000 homes lost electricity, 4,000 homes were in need of serious repair, and at least 30 houses were beyond repair.",The storms resulted in 2 fatalities.,NULL,Australian Prime Minister announced payments for cases where people were seriously injured or their houses were destroyed.,"Insured damage was A$95 million, with a total damage of about A$500 million.","20 houses in Blackwater sustained roof damage, and up to 100 more were damaged in some way."
3,Typhoon Sepat,https://en.wikipedia.org/wiki/Typhoon_Sepat,"Typhoon Sepat occurred from August 12, 2007, to August 24, 2007.","The areas affected by Typhoon Sepat include the Philippines, Taiwan, and China.",More than 43 deaths were directly blamed on Typhoon Sepat.,More than 43 deaths were confirmed caused by Typhoon Sepat in total.,NULL,At least 13 people were killed and at least 60 more were injured in Zhejiang due to Typhoon Sepat.,"The total insured losses were estimated at $692 million (2007 USD), or $869.66 million (2020 USD; adjusted for inflation).","Typhoon Sepat caused damage to buildings in Fujian Province, with winds felling billboards and ripping roofs off houses."
4,2021 Western North America heat wave,https://en.wikipedia.org/wiki/2021_Western_North_America_heat_wave,The 2021 Western North America heat wave occurred from late June through mid-July 2021.,"The heat wave affected Northern California, Idaho, Western Nevada, Oregon, and Washington in the United States, as well as British Columbia, and in its latter phase, Alberta, Manitoba, the Northwest Territories, Saskatchewan, and Yukon, all in Canada.","Over 1,400 deaths were estimated to be caused by the heat wave, with at least 808 estimated in western Canada and around 600 excess deaths in the United States.","The death toll exceeded 1,400 people, with at least 808 estimated in western Canada and around 600 excess deaths in the United States.","The fire in the settlement forced the closure of a section of British Columbia Highway 1, part of Trans-Canada Highway, as well as Highway 12, which ends in Lytton. In total, 300 fires were ravaging the province as of July 13, and the wildfire season destroyed around 2,230 km2 (860 sq mi) of forests by July 15. Evacuation orders had displaced around 600 people in Montana by early August.",NULL,The National Oceanic and Atmospheric Administration (NOAA) estimated that the heatwave caused at least $8.9 billion (2021 USD) in damages in the USA.,"The fire in the settlement of Lytton, British Columbia, caused widespread destruction to the buildings, with a local MP estimating damage at 90%."
5,Hurricane Ophelia (2005),https://en.wikipedia.org/wiki/Hurricane_Ophelia_(2005),"Hurricane Ophelia (2005) occurred from September 6, 2005 to September 23, 2005.","The areas affected by Hurricane Ophelia (2005) include the Bahamas, East Coast of the United States, and Atlantic Canada.","More than 240,000 people lost power and more than 1,500 homes were damaged in North Carolina. Approximately 2,000 people sought refuge across 45 shelters in South Carolina. 800 tourists on Ocracoke Island were under mandatory evacuation orders.",There were 3 confirmed deaths caused by Hurricane Ophelia (2005).,"Approximately 200 homes were damaged on Bald Head Island, and floodwaters briefly isolated 15 houses during the storm.","One person died after falling from his roof while preparing for the storm in Atlantic Canada. There were reports of minor injuries, but the specific number is not provided.",The total monetary losses in North Carolina were estimated at $70 million (2005 USD).,"A total of 636 structures sustained varying degrees of damage in New Hanover County, North Carolina."
6,2017 West Bengal floods,https://en.wikipedia.org/wiki/2017_West_Bengal_floods,The floods occurred in July and August 2017.,"West Bengal and Jharkhand, India were affected by the floods.","At least 27,00,000 people in 106 blocks of 14 districts of West Bengal were affected by the flood.",At least 152 deaths were confirmed caused by the 2017 West Bengal floods.,"Around 2 million people were affected, 7,868 houses were entirely destroyed, and 44,361 were partially damaged in West Bengal.",NULL,"The economic loss was estimated to be Rs14,000 crore (US$2.18 billion) according to government estimates.","1,79,321 hectares out of 10,82,285 hectares of paddy seedbeds were damaged, and 311 relief camps were opened for the affected people."
7,2022 European heatwaves,https://en.wikipedia.org/wiki/2022_European_heat_waves,"The 2022 European heatwaves occurred from June to August, with a third heatwave beginning in August and a smaller heatwave impacting France on 12 September.","The areas affected by the 2022 European heatwaves include Andorra, Austria, Belgium, Croatia, Denmark, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, San Marino, Serbia, Slovakia, Slovenia, Spain, Switzerland, and the United Kingdom.","The confirmed death toll of people affected by the 2022 European heatwaves was 24,501, with upper estimates suggesting more than 61,000 heat-related deaths between 30 May and 4 September.","The confirmed death toll caused by the 2022 European heatwaves was 24,501.",NULL,"At least 238 people died because of the heat, with 187 injuries reported.",The economic damage caused by the 2022 European heatwaves was estimated at EUR19 billion.,NULL
8,Hurricane Agnes,https://en.wikipedia.org/wiki/Hurricane_Agnes,"Hurricane Agnes occurred from June 14, 1972 to July 6, 1972.","Hurricane Agnes affected the Yucatan Peninsula, Western Cuba, East Coast of the United States, Pennsylvania, Atlantic Canada, Iceland, and the British Isles.","Almost 110,000 houses were ruined by Agnes, 3,351 of which were destroyed. In addition, 5,211 mobile homes were either damaged or completely destroyed. Farm buildings and small businesses also suffered extensively, with 2,226 and 5,842 structures experiencing major losses or were destroyed.",The death toll caused by Hurricane Agnes was 128.,"At least 220,000 people were left homeless due to Hurricane Agnes.",At least 23 injuries were reported in Florida due to Hurricane Agnes.,The economic loss or damage due to Hurricane Agnes was estimated at $2.1 billion (1972 USD).,"Throughout the state of Pennsylvania, Agnes demolished more than 3,000 businesses and 68,000 homes, while damaging numerous others."
9,Typhoon Alex (1987),https://en.wikipedia.org/wiki/Typhoon_Alex_(1987),"Typhoon Alex (1987) occurred from July 21, 1987 to August 2, 1987.","Typhoon Alex (1987) affected Taiwan, central China, and South Korea.",Approximately 125 people were killed and roughly 200 were wounded by Typhoon Alex (1987).,A total of 125 people were confirmed dead due to Typhoon Alex (1987).,"Approximately 700 homes were destroyed and around 27,000 hectares of crops were affected by Typhoon Alex (1987).",Roughly 200 people were wounded by Typhoon Alex (1987).,The economic damage caused by Typhoon Alex (1987) exceeded $1.8 million in 1987 USD.,More than 400 homes were damaged or destroyed by Typhoon Alex (1987) in total.
